time,node,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps,delay_ms,jitter_ms,port
1,GCS:14550,0,0,0,0,0,0,0,0,14550
1,Companion:5000,3,30000,0,0,0,0,0,0,5000
1,Flight:5760,6,60000,0,0,0,0,0,0,5760
1,Simulator:8000,0,0,0,0,0,0,0,0,8000
1,Simulator:8080,0,0,0,0,0,0,0,0,8080
2,GCS:14550,74,740000,0,0,0,0,0,0,14550
2,Companion:5000,9,90000,0,0,0,0,0,0,5000
2,Flight:5760,18,180000,0,0,0,0,0,0,5760
2,Simulator:8000,75,750000,0,0,0,0,0,0,8000
2,Simulator:8080,0,0,0,0,0,0,0,0,8080
3,GCS:14550,224,2240000,0,0,0,0,0,0,14550
3,Companion:5000,15,150000,0,0,0,0,0,0,5000
3,Flight:5760,31,310000,0,0,0,0,0,0,5760
3,Simulator:8000,229,2290000,0,0,0,0,0,0,8000
3,Simulator:8080,0,0,0,0,0,0,0,0,8080
4,GCS:14550,374,3740000,0,0,0,0,0,0,14550
4,Companion:5000,21,210000,0,0,0,0,0,0,5000
4,Flight:5760,43,430000,0,0,0,0,0,0,5760
4,Simulator:8000,383,3830000,0,0,0,0,0,0,8000
4,Simulator:8080,0,0,0,0,0,0,0,0,8080
5,GCS:14550,524,5240000,0,0,0,0,0,0,14550
5,Companion:5000,28,280000,0,0,0,0,0,0,5000
5,Flight:5760,56,560000,0,0,0,0,0,0,5760
5,Simulator:8000,537,5370000,0,0,0,0,0,0,8000
5,Simulator:8080,0,0,0,0,0,0,0,0,8080
6,GCS:14550,674,6740000,0,0,0,0,0,0,14550
6,Companion:5000,34,340000,0,0,0,0,0,0,5000
6,Flight:5760,68,680000,0,0,0,0,0,0,5760
6,Simulator:8000,690,6900000,0,0,0,0,0,0,8000
6,Simulator:8080,0,0,0,0,0,0,0,0,8080
7,GCS:14550,824,8240000,0,0,0,0,0,0,14550
7,Companion:5000,40,400000,0,0,0,0,0,0,5000
7,Flight:5760,81,810000,0,0,0,0,0,0,5760
7,Simulator:8000,844,8440000,0,0,0,0,0,0,8000
7,Simulator:8080,0,0,0,0,0,0,0,0,8080
8,GCS:14550,974,9740000,0,0,0,0,0,0,14550
8,Companion:5000,46,460000,0,0,0,0,0,0,5000
8,Flight:5760,93,930000,0,0,0,0,0,0,5760
8,Simulator:8000,998,9980000,0,0,0,0,0,0,8000
