flow,src,dst,proto,srcPort,dstPort,tx,rx,lost,throughput_bps,delay_avg_s,jitter_avg_s
1,10.30.0.2,10.30.0.4,17,49153,5760,738,737,1,985418,0.00159852,0.00119888
2,10.30.0.2,10.30.0.3,17,49154,5000,369,368,1,492041,0.0010884,0.000385171
3,10.30.0.1,10.30.0.2,17,49153,14550,8700,8699,1,1.16311e+07,0.00104734,0.000320658
4,10.30.0.1,10.30.0.5,17,49154,8000,8700,8699,1,1.16311e+07,0.00194338,0.000326875
5,10.30.0.2,10.30.0.5,17,49155,8000,218,217,1,290143,0.0010697,0.000339479
