t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,module,level
1755486725.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486726.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486726.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486726.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486727.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486727.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486727.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486728.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486728.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486728.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486729.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486729.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486729.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486730.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486730.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486730.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486731.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486731.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486731.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486732.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486732.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486732.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486733.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486733.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486734.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486734.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486734.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486735.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486735.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486736.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486736.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486736.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486737.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486737.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486737.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486738.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486738.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486738.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486739.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486739.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486740.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486740.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486740.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486741.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486741.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486741.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486742.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486742.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486742.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486743.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486743.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486743.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486744.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486744.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486744.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486745.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486745.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486745.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486746.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486746.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486746.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486747.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486747.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
