timestamp,total_score,grade,diversity,shuffle,redundancy,survivability,energy,ip,port,route,restarts,alerts
2025-09-01T02:28:33.626353,54.35,F,0.00,58.33,57.00,100.00,62.79,0,0,0,0,0
2025-09-01T02:29:05.759638,54.34,F,0.00,58.33,57.00,100.00,62.74,0,0,0,0,0
