t,mtd_action,drop_old,grace,feat_pre_loss,feat_pre_delay,feat_pre_jitter,label_disruption_window,ns3_throughput_avg,ns3_lost_packets
1756031920.859,bridge_hop,,,0.0,0.0,0.0,2708.697000026703,1.41228,257592.0
1756034628.544,ip_shuffle,,,0.0,0.0,0.0,1.0120000839233398,1.41228,257592.0
1756034630.248,ip_shuffle,,,0.0,0.0,0.0,0.9520001411437988,1.41228,257592.0
1756034631.927,ip_shuffle,,,0.0,0.0,0.0,7.119999885559082,1.41228,257592.0
1756034633.283,port_hop,,5,0.0,0.0,0.0,5.763999938964844,1.41228,257592.0
1756034639.778,ip_shuffle,,,0.0,0.0,0.0,0.9649999141693115,1.41228,257592.0
1756034641.442,ip_shuffle,,,0.0,0.0,0.0,0.9910001754760742,1.41228,257592.0
1756034643.164,ip_shuffle,,,0.0,0.0,0.0,7.108000040054321,1.41228,257592.0
1756034644.532,port_hop,,5,0.0,0.0,0.0,5.740000009536743,1.41228,257592.0
1756034650.948,ip_shuffle,,,0.0,0.0,0.0,0.9479999542236328,1.41228,257592.0
1756034652.596,ip_shuffle,,,0.0,0.0,0.0,0.9509999752044678,1.41228,257592.0
1756034654.238,ip_shuffle,,,0.0,0.0,0.0,0.9360001087188721,1.41228,257592.0
1756034655.861,ip_shuffle,,,0.0,0.0,0.0,0.929999828338623,1.41228,257592.0
1756034657.492,ip_shuffle,,,0.0,0.0,0.0,7.128999948501587,1.41228,257592.0
1756034658.868,port_hop,,5,0.0,0.0,0.0,5.753000020980835,1.41228,257592.0
1756034665.354,ip_shuffle,,,0.0,0.0,0.0,7.138000011444092,1.41228,257592.0
1756034666.726,port_hop,,5,0.0,0.0,0.0,5.766000032424927,1.41228,257592.0
1756034673.198,ip_shuffle,,,0.0,0.0,0.0,0.9760000705718994,1.41228,257592.0
1756034674.899,ip_shuffle,,,0.0,0.0,0.0,7.103000164031982,1.41228,257592.0
1756034676.23,port_hop,,5,0.0,0.0,0.0,5.772000074386597,1.41228,257592.0
1756034682.697,ip_shuffle,,,0.0,0.0,0.0,1.001999855041504,1.41228,257592.0
1756034684.414,ip_shuffle,,,0.0,0.0,0.0,7.105000019073486,1.41228,257592.0
1756034685.779,port_hop,,5,0.0,0.0,0.0,5.740000009536743,1.41228,257592.0
1756034692.237,ip_shuffle,,,0.0,0.0,0.0,0.9739999771118164,1.41228,257592.0
1756034693.897,ip_shuffle,,,0.0,0.0,0.0,0.9629998207092285,1.41228,257592.0
1756034695.538,ip_shuffle,,,0.0,0.0,0.0,0.9649999141693115,1.41228,257592.0
