[2025-08-24 19:11:33] [cti_watch_ip] container=ground-control-station if=eth0 every 1s
[2025-08-24 19:28:01] [cti_watch_ip] IP change: 10.13.0.128 -> 10.13.0.110
[2025-08-24 19:28:12] [cti_watch_ip] IP change: 10.13.0.110 -> 10.13.0.165
[2025-08-24 19:28:29] [cti_watch_ip] IP change: 10.13.0.165 -> 10.13.0.104
[2025-08-24 19:28:40] [cti_watch_ip] IP change: 10.13.0.104 -> 10.13.0.181
[2025-08-24 19:28:58] [cti_watch_ip] IP change: 10.13.0.181 -> 10.13.0.82
[2025-08-24 19:29:09] [cti_watch_ip] IP change: 10.13.0.82 -> 10.13.0.116
[2025-08-24 19:29:27] [cti_watch_ip] IP change: 10.13.0.116 -> 10.13.0.193
[2025-08-24 19:29:44] [cti_watch_ip] IP change: 10.13.0.193 -> 10.13.0.159
[2025-08-24 19:30:02] [cti_watch_ip] IP change: 10.13.0.159 -> 10.13.0.59
[2025-08-24 19:30:20] [cti_watch_ip] IP change: 10.13.0.59 -> 10.13.0.120
[2025-08-24 19:30:31] [cti_watch_ip] IP change: 10.13.0.120 -> 10.13.0.62
[2025-08-24 19:30:49] [cti_watch_ip] IP change: 10.13.0.62 -> 10.13.0.195
[2025-08-24 19:30:58] [cti_watch_ip] IP change: 10.13.0.195 -> 10.13.0.190
[2025-08-24 19:31:09] [cti_watch_ip] IP change: 10.13.0.190 -> 10.13.0.141
[2025-08-24 19:31:27] [cti_watch_ip] IP change: 10.13.0.141 -> 10.13.0.80
