timestamp,lat,lon,alt,accuracy_loss,satellites,hdop,spoofed
2025-08-18 03:35:20,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:35:48,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:37:08,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:39:00,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:40:16,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:42:15,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:45:29,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:46:08,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:46:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:51:02,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:51:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:54:17,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:55:09,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 03:55:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:03:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:07:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:09:37,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:11:40,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:13:25,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:16:55,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:21:22,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:21:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:22:40,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:23:48,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:27:13,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:28:01,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:28:38,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:29:05,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:29:17,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:30:43,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:30:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:33:04,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:33:53,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:36:13,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:36:25,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:38:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:43:08,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:44:02,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:44:51,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:45:18,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:52:09,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:52:27,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:53:38,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:54:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:56:00,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 04:58:45,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:00:37,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:00:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:06:52,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:07:31,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:08:02,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:09:54,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:10:54,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:11:26,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:13:19,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:15:09,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:16:25,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:16:42,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:16:58,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:17:17,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:18:04,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:18:37,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:19:14,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:20:07,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:20:36,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:22:45,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:24:04,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:27:36,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:28:05,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:28:51,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:29:29,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:33:07,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:35:01,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:38:46,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:40:46,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:41:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:43:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:46:06,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:46:48,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:47:34,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:49:32,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:50:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 05:51:24,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:04:12,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:04:29,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:05:21,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:06:08,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:07:45,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:08:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:09:04,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:11:39,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:14:11,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:16:02,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:16:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:17:43,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:20:05,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:20:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:25:11,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:26:50,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:28:18,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:31:56,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:32:35,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:33:44,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:36:24,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:36:42,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:38:44,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:40:28,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:40:59,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:45:26,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:46:11,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:48:23,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:50:29,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:52:04,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:53:19,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 06:58:53,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 07:01:29,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 07:02:10,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 07:02:33,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 07:05:21,37.777020,122.421520,104.2,3.0,7,2.5,true
2025-08-18 07:07:03,37.777020,122.421520,104.2,3.0,7,2.5,true
