sim_time,event,target,params
0.752223014831543,BatteryUpdate,companion-computer-lite,level=89
0.752281904220581,BatteryUpdate,companion-computer-lite,level=89
0.752349853515625,BatteryUpdate,companion-computer-lite,level=89
0.752418041229248,BatteryUpdate,companion-computer-lite,level=89
0.7524828910827637,BatteryUpdate,companion-computer-lite,level=89
0.7525629997253418,BatteryUpdate,companion-computer-lite,level=89
0.7526228427886963,BatteryUpdate,companion-computer-lite,level=89
0.7526838779449463,BatteryUpdate,companion-computer-lite,level=89
0.7527408599853516,BatteryUpdate,companion-computer-lite,level=89
0.7528369426727295,BatteryUpdate,companion-computer-lite,level=89
0.7529439926147461,BatteryUpdate,companion-computer-lite,level=89
0.7530210018157959,BatteryUpdate,companion-computer-lite,level=89
0.8385250568389893,BatteryUpdate,companion-computer-lite,level=89
0.8388030529022217,BatteryUpdate,companion-computer-lite,level=89
0.9999189376831055,BatteryUpdate,companion-computer-lite,level=89
1.0004780292510986,BatteryUpdate,companion-computer-lite,level=89
1.0005948543548584,BatteryUpdate,companion-computer-lite,level=89
1.0006730556488037,BatteryUpdate,companion-computer-lite,level=89
1.0007400512695312,BatteryUpdate,companion-computer-lite,level=89
1.0008020401000977,BatteryUpdate,companion-computer-lite,level=89
1.0014679431915283,BatteryUpdate,companion-computer-lite,level=89
1.0015819072723389,BatteryUpdate,companion-computer-lite,level=89
1.0016789436340332,BatteryUpdate,companion-computer-lite,level=89
1.0017719268798828,BatteryUpdate,companion-computer-lite,level=89
1.0018689632415771,BatteryUpdate,companion-computer-lite,level=89
1.0019810199737549,BatteryUpdate,companion-computer-lite,level=89
1.0020520687103271,BatteryUpdate,companion-computer-lite,level=89
1.002112865447998,BatteryUpdate,companion-computer-lite,level=89
1.002173900604248,BatteryUpdate,companion-computer-lite,level=89
1.0022330284118652,BatteryUpdate,companion-computer-lite,level=89
1.0023319721221924,BatteryUpdate,companion-computer-lite,level=89
1.0024669170379639,BatteryUpdate,companion-computer-lite,level=89
1.00254487991333,BatteryUpdate,companion-computer-lite,level=89
1.00260591506958,BatteryUpdate,companion-computer-lite,level=89
1.0026628971099854,BatteryUpdate,companion-computer-lite,level=89
1.0027530193328857,BatteryUpdate,companion-computer-lite,level=89
1.0028409957885742,BatteryUpdate,companion-computer-lite,level=89
1.0029480457305908,BatteryUpdate,companion-computer-lite,level=89
1.0030388832092285,BatteryUpdate,companion-computer-lite,level=89
1.0031039714813232,BatteryUpdate,companion-computer-lite,level=89
1.003169059753418,BatteryUpdate,companion-computer-lite,level=89
1.003227949142456,BatteryUpdate,companion-computer-lite,level=89
1.0033049583435059,BatteryUpdate,companion-computer-lite,level=89
1.0034160614013672,BatteryUpdate,companion-computer-lite,level=89
1.2486450672149658,BatteryUpdate,companion-computer-lite,level=89
