time,node,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps,delay_ms,jitter_ms,port
19,Flight:5760,231,2310000,0,0,0,0,0,0,5760
19,Simulator:8000,65,650000,0,0,0,0,0,0,8000
19,Simulator:8080,1093,10930000,0,0,0,0,0,0,8080
20,GCS:14550,0,0,0,0,0,0,0,0,14550
20,Companion:5000,121,1210000,0,0,0,0,0,0,5000
20,Flight:5760,243,2430000,0,0,0,0,0,0,5760
20,Simulator:8000,69,690000,0,0,0,0,0,0,8000
20,Simulator:8080,1156,11560000,0,0,0,0,0,0,8080
21,GCS:14550,0,0,0,0,0,0,0,0,14550
21,Companion:5000,128,1280000,0,0,0,0,0,0,5000
21,Flight:5760,256,2560000,0,0,0,0,0,0,5760
21,Simulator:8000,73,730000,0,0,0,0,0,0,8000
21,Simulator:8080,1218,12180000,0,0,0,0,0,0,8080
22,GCS:14550,0,0,0,0,0,0,0,0,14550
22,Companion:5000,134,1340000,0,0,0,0,0,0,5000
22,Flight:5760,268,2680000,0,0,0,0,0,0,5760
22,Simulator:8000,76,760000,0,0,0,0,0,0,8000
22,Simulator:8080,1281,12810000,0,0,0,0,0,0,8080
23,GCS:14550,0,0,0,0,0,0,0,0,14550
23,Companion:5000,140,1400000,0,0,0,0,0,0,5000
23,Flight:5760,281,2810000,0,0,0,0,0,0,5760
23,Simulator:8000,80,800000,0,0,0,0,0,0,8000
23,Simulator:8080,1343,13430000,0,0,0,0,0,0,8080
24,GCS:14550,0,0,0,0,0,0,0,0,14550
24,Companion:5000,146,1460000,0,0,0,0,0,0,5000
24,Flight:5760,293,2930000,0,0,0,0,0,0,5760
24,Simulator:8000,84,840000,0,0,0,0,0,0,8000
24,Simulator:8080,1406,14060000,0,0,0,0,0,0,8080
25,GCS:14550,0,0,0,0,0,0,0,0,14550
25,Companion:5000,153,1530000,0,0,0,0,0,0,5000
25,Flight:5760,306,3060000,0,0,0,0,0,0,5760
25,Simulator:8000,88,880000,0,0,0,0,0,0,8000
25,Simulator:8080,1468,14680000,0,0,0,0,0,0,8080
26,GCS:14550,0,0,0,0,0,0,0,0,14550
26,Companion:5000,159,1590000,0,0,0,0,0,0,5000
26,Flight:5760,318,3180000,0,0,0,0,0,0,5760
26,Simulator:8000,91,910000,0,0,0,0,0,0,8000
26,Simulator:8080,1531,15310000,0,0,0,0,0,0,8080
27,GCS:14550,0,0,0,0,0,0,0,0,14550
27,Companion:5000,165,1650000,0,0,0,0,0,0,5000
27,Flight:5760,331,3310000,0,0,0,0,0,0,5760
27,Simulator:8000,95,950000,0,0,0,0,0,0,8000
27,Simulator:8080,1593,15930000,0,0,0,0,0,0,8080
28,GCS:14550,0,0,0,0,0,0,0,0,14550
28,Companion:5000,171,1710000,0,0,0,0,0,0,5000
28,Flight:5760,343,3430000,0,0,0,0,0,0,5760
28,Simulator:8000,99,990000,0,0,0,0,0,0,8000
28,Simulator:8080,1656,16560000,0,0,0,0,0,0,8080
29,GCS:14550,0,0,0,0,0,0,0,0,14550
29,Companion:5000,178,1780000,0,0,0,0,0,0,5000
29,Flight:5760,356,3560000,0,0,0,0,0,0,5760
29,Simulator:8000,103,1030000,0,0,0,0,0,0,8000
29,Simulator:8080,1718,17180000,0,0,0,0,0,0,8080
30,GCS:14550,0,0,0,0,0,0,0,0,14550
30,Companion:5000,184,1840000,0,0,0,0,0,0,5000
30,Flight:5760,368,3680000,0,0,0,0,0,0,5760
30,Simulator:8000,106,1060000,0,0,0,0,0,0,8000
30,Simulator:8080,1781,17810000,0,0,0,0,0,0,8080
31,GCS:14550,0,0,0,0,0,0,0,0,14550
31,Companion:5000,190,1900000,0,0,0,0,0,0,5000
31,Flight:5760,381,3810000,0,0,0,0,0,0,5760
31,Simulator:8000,110,1100000,0,0,0,0,0,0,8000
31,Simulator:8080,1843,18430000,0,0,0,0,0,0,8080
32,GCS:14550,0,0,0,0,0,0,0,0,14550
32,Companion:5000,196,1960000,0,0,0,0,0,0,5000
32,Flight:5760,393,3930000,0,0,0,0,0,0,5760
32,Simulator:8000,114,1140000,0,0,0,0,0,0,8000
32,Simulator:8080,1906,19060000,0,0,0,0,0,0,8080
33,GCS:14550,0,0,0,0,0,0,0,0,14550
33,Companion:5000,203,2030000,0,0,0,0,0,0,5000
33,Flight:5760,406,4060000,0,0,0,0,0,0,5760
33,Simulator:8000,118,1180000,0,0,0,0,0,0,8000
33,Simulator:8080,1968,19680000,0,0,0,0,0,0,8080
34,GCS:14550,0,0,0,0,0,0,0,0,14550
34,Companion:5000,209,2090000,0,0,0,0,0,0,5000
34,Flight:5760,418,4180000,0,0,0,0,0,0,5760
34,Simulator:8000,121,1210000,0,0,0,0,0,0,8000
34,Simulator:8080,2031,20310000,0,0,0,0,0,0,8080
35,GCS:14550,0,0,0,0,0,0,0,0,14550
35,Companion:5000,215,2150000,0,0,0,0,0,0,5000
35,Flight:5760,431,4310000,0,0,0,0,0,0,5760
35,Simulator:8000,125,1250000,0,0,0,0,0,0,8000
35,Simulator:8080,2093,20930000,0,0,0,0,0,0,8080
36,GCS:14550,0,0,0,0,0,0,0,0,14550
36,Companion:5000,221,2210000,0,0,0,0,0,0,5000
36,Flight:5760,443,4430000,0,0,0,0,0,0,5760
36,Simulator:8000,129,1290000,0,0,0,0,0,0,8000
36,Simulator:8080,2156,21560000,0,0,0,0,0,0,8080
37,GCS:14550,0,0,0,0,0,0,0,0,14550
37,Companion:5000,228,2280000,0,0,0,0,0,0,5000
37,Flight:5760,456,4560000,0,0,0,0,0,0,5760
37,Simulator:8000,133,1330000,0,0,0,0,0,0,8000
37,Simulator:8080,2218,22180000,0,0,0,0,0,0,8080
38,GCS:14550,0,0,0,0,0,0,0,0,14550
38,Companion:5000,234,2340000,0,0,0,0,0,0,5000
38,Flight:5760,468,4680000,0,0,0,0,0,0,5760
38,Simulator:8000,136,1360000,0,0,0,0,0,0,8000
38,Simulator:8080,2281,22810000,0,0,0,0,0,0,8080
39,GCS:14550,0,0,0,0,0,0,0,0,14550
39,Companion:5000,240,2400000,0,0,0,0,0,0,5000
39,Flight:5760,481,4810000,0,0,0,0,0,0,5760
39,Simulator:8000,140,1400000,0,0,0,0,0,0,8000
39,Simulator:8080,2343,23430000,0,0,0,0,0,0,8080
40,GCS:14550,0,0,0,0,0,0,0,0,14550
40,Companion:5000,246,2460000,0,0,0,0,0,0,5000
40,Flight:5760,493,4930000,0,0,0,0,0,0,5760
40,Simulator:8000,144,1440000,0,0,0,0,0,0,8000
40,Simulator:8080,2406,24060000,0,0,0,0,0,0,8080
41,GCS:14550,0,0,0,0,0,0,0,0,14550
41,Companion:5000,253,2530000,0,0,0,0,0,0,5000
41,Flight:5760,506,5060000,0,0,0,0,0,0,5760
41,Simulator:8000,148,1480000,0,0,0,0,0,0,8000
41,Simulator:8080,2468,24680000,0,0,0,0,0,0,8080
42,GCS:14550,0,0,0,0,0,0,0,0,14550
42,Companion:5000,259,2590000,0,0,0,0,0,0,5000
42,Flight:5760,518,5180000,0,0,0,0,0,0,5760
42,Simulator:8000,151,1510000,0,0,0,0,0,0,8000
42,Simulator:8080,2531,25310000,0,0,0,0,0,0,8080
43,GCS:14550,0,0,0,0,0,0,0,0,14550
43,Companion:5000,265,2650000,0,0,0,0,0,0,5000
43,Flight:5760,531,5310000,0,0,0,0,0,0,5760
43,Simulator:8000,155,1550000,0,0,0,0,0,0,8000
43,Simulator:8080,2593,25930000,0,0,0,0,0,0,8080
44,GCS:14550,0,0,0,0,0,0,0,0,14550
44,Companion:5000,271,2710000,0,0,0,0,0,0,5000
44,Flight:5760,543,5430000,0,0,0,0,0,0,5760
44,Simulator:8000,159,1590000,0,0,0,0,0,0,8000
44,Simulator:8080,2656,26560000,0,0,0,0,0,0,8080
45,GCS:14550,0,0,0,0,0,0,0,0,14550
45,Companion:5000,278,2780000,0,0,0,0,0,0,5000
45,Flight:5760,556,5560000,0,0,0,0,0,0,5760
45,Simulator:8000,163,1630000,0,0,0,0,0,0,8000
45,Simulator:8080,2718,27180000,0,0,0,0,0,0,8080
46,GCS:14550,0,0,0,0,0,0,0,0,14550
46,Companion:5000,284,2840000,0,0,0,0,0,0,5000
46,Flight:5760,568,5680000,0,0,0,0,0,0,5760
46,Simulator:8000,166,1660000,0,0,0,0,0,0,8000
46,Simulator:8080,2781,27810000,0,0,0,0,0,0,8080
47,GCS:14550,0,0,0,0,0,0,0,0,14550
47,Companion:5000,290,2900000,0,0,0,0,0,0,5000
47,Flight:5760,581,5810000,0,0,0,0,0,0,5760
47,Simulator:8000,170,1700000,0,0,0,0,0,0,8000
47,Simulator:8080,2843,28430000,0,0,0,0,0,0,8080
48,GCS:14550,0,0,0,0,0,0,0,0,14550
48,Companion:5000,296,2960000,0,0,0,0,0,0,5000
48,Flight:5760,593,5930000,0,0,0,0,0,0,5760
48,Simulator:8000,174,1740000,0,0,0,0,0,0,8000
48,Simulator:8080,2906,29060000,0,0,0,0,0,0,8080
49,GCS:14550,0,0,0,0,0,0,0,0,14550
49,Companion:5000,303,3030000,0,0,0,0,0,0,5000
49,Flight:5760,606,6060000,0,0,0,0,0,0,5760
49,Simulator:8000,178,1780000,0,0,0,0,0,0,8000
49,Simulator:8080,2968,29680000,0,0,0,0,0,0,8080
50,GCS:14550,0,0,0,0,0,0,0,0,14550
50,Companion:5000,309,3090000,0,0,0,0,0,0,5000
50,Flight:5760,618,6180000,0,0,0,0,0,0,5760
50,Simulator:8000,181,1810000,0,0,0,0,0,0,8000
50,Simulator:8080,3031,30310000,0,0,0,0,0,0,8080
51,GCS:14550,0,0,0,0,0,0,0,0,14550
51,Companion:5000,315,3150000,0,0,0,0,0,0,5000
51,Flight:5760,631,6310000,0,0,0,0,0,0,5760
51,Simulator:8000,185,1850000,0,0,0,0,0,0,8000
51,Simulator:8080,3093,30930000,0,0,0,0,0,0,8080
52,GCS:14550,0,0,0,0,0,0,0,0,14550
52,Companion:5000,321,3210000,0,0,0,0,0,0,5000
52,Flight:5760,643,6430000,0,0,0,0,0,0,5760
52,Simulator:8000,189,1890000,0,0,0,0,0,0,8000
52,Simulator:8080,3156,31560000,0,0,0,0,0,0,8080
53,GCS:14550,0,0,0,0,0,0,0,0,14550
53,Companion:5000,328,3280000,0,0,0,0,0,0,5000
