flow,src,dst,proto,srcPort,dstPort,tx,rx,lost,throughput_bps,delay_avg_s,jitter_avg_s
1,10.30.0.2,10.30.0.4,17,49153,5760,738,737,1,985418,0.00133769,0.000893486
2,10.30.0.2,10.30.0.3,17,49154,5000,369,368,1,492041,0.000891618,1.09973e-05
3,10.30.0.1,10.30.0.5,17,49153,8080,3625,3624,1,4.84553e+06,0.000893434,1.55875e-05
4,10.30.0.2,10.30.0.5,17,49155,8000,218,217,1,290143,0.00126361,0.000746051
